time,low,high,open,close,volume,symbol
1761955200,0.06976,0.07038,0.07013,0.06996,2633732,ZORA-USD
1761958800,0.06971,0.07037,0.06996,0.0699,2513287,ZORA-USD
1761962400,0.06925,0.07096,0.0699,0.07087,2875435,ZORA-USD
1761966000,0.07085,0.07178,0.07088,0.07111,5159130,ZORA-USD
1761969600,0.07043,0.07161,0.07112,0.07075,3234975,ZORA-USD
1761973200,0.06977,0.07074,0.07074,0.07,4419618,ZORA-USD
1761976800,0.0699,0.07091,0.07002,0.07072,882964,ZORA-USD
1761980400,0.07047,0.07125,0.07072,0.07081,1627982,ZORA-USD
1761984000,0.07063,0.07153,0.07082,0.07153,893823,ZORA-USD
1761987600,0.07062,0.07161,0.07151,0.07087,2075181,ZORA-USD
1761991200,0.07057,0.07094,0.07087,0.07072,491236,ZORA-USD
1761994800,0.07034,0.07086,0.07074,0.07067,488589,ZORA-USD
1761998400,0.06827,0.07071,0.07067,0.06849,7510641,ZORA-USD
1762002000,0.06771,0.06885,0.06849,0.06803,2483556,ZORA-USD
1762005600,0.067,0.0681,0.06804,0.06763,4004668,ZORA-USD
1762009200,0.0672,0.06827,0.0676,0.06765,3247730,ZORA-USD
1762012800,0.06749,0.07397,0.06764,0.0715,13429972,ZORA-USD
1762016400,0.07015,0.07191,0.07141,0.07097,9314790,ZORA-USD
1762020000,0.0703,0.07292,0.07096,0.07273,6473934,ZORA-USD
1762023600,0.07063,0.0727,0.0727,0.07095,4224268,ZORA-USD
1762027200,0.07093,0.07291,0.07098,0.07213,3831511,ZORA-USD
1762030800,0.07128,0.07259,0.07213,0.07131,2529669,ZORA-USD
1762034400,0.06972,0.07141,0.07128,0.07091,4075450,ZORA-USD
1762038000,0.0704,0.0716,0.07091,0.07128,1181591,ZORA-USD
1762041600,0.06951,0.07128,0.07127,0.06972,1856320,ZORA-USD
1762045200,0.06934,0.0705,0.0697,0.06975,3338930,ZORA-USD
1762048800,0.0695,0.06996,0.06976,0.06957,1624194,ZORA-USD
1762052400,0.06896,0.06969,0.06956,0.06929,2084390,ZORA-USD
1762056000,0.06889,0.06993,0.06927,0.06956,1048161,ZORA-USD
1762059600,0.06866,0.06954,0.06954,0.06901,931849,ZORA-USD
1762063200,0.06869,0.06977,0.06899,0.0696,1088608,ZORA-USD
1762066800,0.06958,0.07065,0.06958,0.0702,1214620,ZORA-USD
1762070400,0.06917,0.07028,0.07024,0.0694,1727467,ZORA-USD
1762074000,0.06851,0.06969,0.06937,0.06853,1641528,ZORA-USD
1762077600,0.0678,0.06876,0.06854,0.06815,1485955,ZORA-USD
1762081200,0.06815,0.06899,0.06815,0.06899,1281745,ZORA-USD
